scenario,KG_mM,alpha,trial,mean_score,score_se,naive_score_se,baseline_correlation,rejected,valid_fit
ideal,7.8,0.17,0,-1.5525992599325424,0.01714127249684259,0.017917545651230726,-0.0853435321221075,0,1
ideal,7.8,0.17,1,-1.4859538630624196,0.02426057840695378,0.020083169589933877,0.4772878362884922,0,1
ideal,7.8,0.17,2,-1.51278157719844,0.03231117017657539,0.026163051206399914,0.5252068555353019,0,1
ideal,7.8,0.17,3,-1.5195545092504301,0.02232974759722507,0.017094004241436075,0.7473763203852273,0,1
ideal,7.8,0.17,4,-1.5262600433637248,0.023522103148067835,0.017933414739801475,0.7208412351529955,0,1
ideal,7.8,0.17,5,-1.5045923313084817,0.022564325772533658,0.018314071498508507,0.5252525511175345,0,1
ideal,7.8,0.17,6,-1.5451611477043994,0.02265926222389678,0.01894207967598665,0.4572035102457226,0,1
ideal,7.8,0.17,7,-1.5386681488809364,0.01764963373319362,0.017361640099658147,0.033885541037113144,0,1
ideal,7.8,0.17,8,-1.529357054977758,0.03102657069282651,0.025684565469830806,0.46426346411325614,0,1
ideal,7.8,0.17,9,-1.5196098691748472,0.013409551123646399,0.010324613063102136,0.7422180137749784,0,1
ideal,7.8,0.17,10,-1.5228190610033274,0.009225188368901311,0.010715386700712844,-0.2990429182898227,0,1
ideal,7.8,0.17,11,-1.4885372889448185,0.017417633143733884,0.013720505251373917,0.611529459290134,0,1
ideal,7.8,0.17,12,-1.5118427264607999,0.010228136365059698,0.011972850427620077,-0.2970702306289465,0,1
ideal,7.8,0.17,13,-1.5503384695651266,0.014257787705720283,0.014714035690220693,-0.0903610587960736,0,1
ideal,7.8,0.17,14,-1.5417641334866894,0.014196420715468967,0.013184004671924912,0.16142765078934326,0,1
ideal,7.8,0.17,15,-1.5377275832624209,0.03093582413149336,0.023055113922241795,0.9730850298113587,0,1
ideal,7.8,0.17,16,-1.523130284002372,0.01724827314120896,0.013845723152132663,0.6199085643911151,0,1
ideal,7.8,0.17,17,-1.5111634833180916,0.014416079621941035,0.01331860222818783,0.19040258974749816,0,1
ideal,7.8,0.17,18,-1.5357808402869186,0.026246690954005024,0.01935241937297234,0.8422528626274012,0,1
ideal,7.8,0.17,19,-1.4891016709190397,0.019563151518687795,0.017031861886153972,0.35051497451933133,0,1
ideal,7.8,0.17,20,-1.5300398689505568,0.01800925495019457,0.014218366954368419,0.6043518609308244,0,1
ideal,7.8,0.17,21,-1.4998483060000554,0.02574331861545731,0.02150377868842903,0.4336225841005195,0,1
ideal,7.8,0.17,22,-1.5342161048253522,0.021202047400999468,0.019448201215504717,0.22417911657375061,0,1
